kraj,obec_cislo,obec_nazev,hlasy_Fischer,hlasy_Basta,hlasy_Pavel,hlasy_Zima,hlasy_Nerudova,hlasy_Babis,hlasy_Divis,hlasy_Hilser,platne_hlasy,platne_hlasy_procenta,ucast_procenta,zapsani_volici
CZ031,529729,Kvítkovice,7,0,36,0,14,19,1,4,81,100.00,79.41,102
CZ031,535176,Planá,11,7,51,1,30,48,2,5,155,99.36,72.56,215
CZ031,535206,Dobrá Voda u Českých Budějovic,163,81,575,9,194,441,19,37,1519,99.09,72.28,2121
CZ031,535231,Ostrolovský Újezd,9,4,48,1,23,31,0,2,118,100.00,86.76,136
CZ031,535249,Dasný,12,3,84,1,42,62,3,7,214,99.53,80.22,268
CZ031,535281,Mydlovary,8,0,56,1,21,65,3,7,161,98.77,68.49,238
CZ031,535346,Plav,23,14,114,3,38,78,1,11,282,98.26,78.20,367
CZ031,535371,Nákří,8,7,29,2,30,42,1,5,124,100.00,73.81,168
CZ031,535401,Bošilec,10,5,45,0,28,45,1,2,136,99.27,81.55,168
CZ031,535435,Neplachov,18,12,63,1,39,77,1,4,215,99.08,72.82,298
CZ031,535460,Hradce,15,0,22,0,14,9,2,1,63,96.92,81.25,80
CZ031,535494,Úsilné,20,16,106,0,40,86,4,6,278,98.58,75.40,374
CZ031,535524,Hosty,10,9,35,1,10,35,1,1,102,98.08,73.76,141
CZ031,535541,Čakov,21,6,54,2,24,39,6,7,159,98.76,70.31,229
CZ031,535575,Habří,7,0,36,0,10,22,0,3,78,98.73,83.16,95
CZ031,535591,Zvíkov,16,7,54,0,23,49,2,7,158,100.00,73.15,216
CZ031,535613,Hvozdec,2,10,21,0,15,30,0,3,81,100.00,76.64,107
CZ031,535648,Nová Ves,37,22,146,2,69,165,13,16,470,99.37,77.41,611
CZ031,535664,Doubravice,16,12,97,0,35,46,1,7,214,100.00,85.60,250
CZ031,535681,Borovnice,7,0,47,0,15,27,1,0,97,98.98,83.76,117
CZ031,535699,Petříkov,20,11,41,4,47,50,2,5,180,100.00,72.87,247
CZ031,535737,Vidov,30,7,169,1,59,95,3,6,370,98.93,76.64,488
CZ031,535753,Hůry,35,15,124,3,66,86,9,14,352,99.44,74.37,476
CZ031,535761,Jivno,14,16,79,2,40,65,2,5,223,99.55,73.93,303
CZ031,535788,Dubičné,24,27,78,0,43,80,4,2,258,99.61,76.18,340
CZ031,535796,Vráto,13,15,107,1,52,63,1,13,265,99.25,78.76,339
CZ031,535800,Libníč,19,21,107,2,33,66,5,22,275,99.28,65.72,423
CZ031,535826,Adamov,48,35,205,5,76,146,5,35,555,99.11,78.16,719
CZ031,535842,Mokrý Lom,2,8,17,0,11,25,1,3,67,100.00,72.83,92
CZ031,535851,Hlavatce,15,3,23,1,16,29,1,5,93,98.94,80.34,117
CZ031,535877,Komařice,21,18,78,0,30,54,0,7,208,99.52,73.85,283
CZ031,535893,Vitín,16,14,79,1,41,84,3,13,251,100.00,71.10,353
CZ031,535907,Chotýčany,26,5,44,0,19,47,2,2,145,99.32,76.04,192
CZ031,535915,Vlkov,2,3,7,0,5,8,0,1,26,100.00,70.27,37
CZ031,535940,Mazelov,10,6,46,0,16,55,2,6,141,100.00,80.34,178
CZ031,535958,Drahotěšice,16,10,56,1,25,62,4,6,180,99.45,72.11,251
CZ031,535982,Kamenná,13,10,26,0,27,78,1,7,162,98.78,63.81,257
CZ031,535991,Pištín,17,22,116,5,71,113,5,8,357,98.62,70.29,515
CZ031,536016,Zahájí,20,6,109,2,28,113,9,11,298,99.33,77.32,388
CZ031,536032,Strýčice,1,0,9,0,9,14,0,0,33,100.00,71.74,46
CZ031,536059,Břehov,6,8,41,0,21,23,0,6,105,100.00,80.77,130
CZ031,536075,Hartmanice,9,1,34,1,19,24,4,0,92,100.00,64.34,143
CZ031,536105,Horní Kněžeklady,7,0,29,0,8,19,2,3,68,98.55,71.88,96
CZ031,536156,Bečice,10,1,20,0,9,22,0,0,62,100.00,75.61,82
CZ031,536199,Dobšice,3,1,20,0,11,18,3,3,59,100.00,62.11,95
CZ031,544256,České Budějovice,4046,2099,18515,277,7242,15111,618,1220,49128,99.30,67.85,72966
CZ031,544272,Borek,72,32,377,3,156,290,12,33,975,98.98,79.89,1233
CZ031,544281,Borovany,244,105,687,13,309,857,27,77,2319,99.61,71.46,3262
CZ031,544299,Boršov nad Vltavou,121,42,446,13,150,298,15,34,1119,99.29,73.04,1543
CZ031,544329,Čejkovice,14,7,63,0,26,72,5,9,196,98.99,66.22,299
CZ031,544361,Dívčice,16,14,129,1,57,113,6,15,351,99.43,72.93,484
CZ031,544388,Dolní Bukovsko,54,41,296,4,135,362,11,33,936,98.94,72.21,1310
CZ031,544400,Doudleby,31,14,110,0,59,58,1,5,278,100.00,72.21,385
CZ031,544426,Dříteň,78,40,339,13,175,273,13,34,965,99.48,74.33,1305
CZ031,544442,Dubné,95,34,409,4,170,230,13,25,980,99.49,75.61,1304
CZ031,544451,Dynín,8,10,67,4,44,53,6,3,195,97.99,71.58,278
