kraj,obec_cislo,obec_nazev,hlasy_Pavel,hlasy_Babis,platne_hlasy,platne_hlasy_procenta,ucast_procenta,zapsani_volici
CZ072,506737,Chvalčov,484,451,935,99.36,71.50,1316
CZ072,542318,Blazice,54,47,101,97.12,66.24,157
CZ072,542342,Honětice,15,33,48,100.00,70.59,68
CZ072,542393,Vrbka,78,55,133,100.00,79.64,167
CZ072,549690,Bořenovice,57,68,125,100.00,76.22,164
CZ072,549720,Přílepy,309,302,611,99.51,78.72,780
CZ072,553905,Mrlínek,64,111,175,98.87,79.02,224
CZ072,557188,Šelešovice,79,112,191,99.48,69.57,276
CZ072,587257,Zástřizly,56,38,94,96.91,77.78,126
CZ072,587354,Karolín,78,76,154,99.35,77.11,201
CZ072,587397,Prasklice,66,65,131,100.00,66.84,196
CZ072,588296,Kroměříž,8410,7121,15531,99.42,68.40,22853
CZ072,588300,Bařice-Velké Těšany,151,123,274,100.00,74.05,370
CZ072,588326,Bezměrov,125,186,311,99.36,70.98,441
CZ072,588377,Brusné,105,124,229,100.00,76.08,301
CZ072,588385,Břest,324,219,543,99.63,71.90,758
CZ072,588393,Bystřice pod Hostýnem,2282,2153,4435,99.35,67.91,6573
CZ072,588407,Cetechovice,44,66,110,100.00,74.32,148
CZ072,588431,Dřínov,75,167,242,99.59,71.05,342
CZ072,588458,Holešov,3367,3058,6425,99.41,70.07,9225
CZ072,588474,Horní Lapač,86,68,154,100.00,72.99,211
CZ072,588482,Hoštice,30,49,79,98.75,65.57,122
CZ072,588491,Hulín,1673,1819,3492,99.57,66.77,5254
CZ072,588504,Chomýž,87,108,195,99.49,67.82,289
CZ072,588512,Chropyně,1008,1457,2465,99.88,64.16,3848
CZ072,588521,Kostelany,150,215,365,99.73,72.76,503
CZ072,588547,Chvalnov-Lísky,55,65,120,99.17,61.73,196
CZ072,588555,Jankovice,127,114,241,99.59,76.34,317
CZ072,588563,Jarohněvice,93,74,167,99.40,68.02,247
CZ072,588598,Komárno,105,73,178,100.00,75.42,236
CZ072,588601,Koryčany,656,786,1442,99.59,66.82,2167
CZ072,588610,Kostelec u Holešova,269,306,575,99.14,73.05,794
CZ072,588628,Kunkovice,22,20,42,100.00,75.00,56
CZ072,588636,Kurovice,63,103,166,100.00,76.85,216
CZ072,588644,Kvasice,642,606,1248,99.52,69.55,1803
CZ072,588652,Kyselovice,123,148,271,99.63,70.10,388
CZ072,588661,Lechotice,150,120,270,100.00,78.95,342
CZ072,588695,Litenčice,102,141,243,99.59,66.30,368
CZ072,588709,Loukov,275,224,499,99.60,67.25,745
CZ072,588717,Lubná,140,107,247,98.41,70.31,357
CZ072,588725,Ludslavice,142,139,281,99.65,71.03,397
CZ072,588733,Lutopecny,182,169,351,99.43,72.93,484
CZ072,588741,Martinice,255,256,511,99.80,78.53,652
CZ072,588750,Míškovice,240,153,393,100.00,74.86,525
CZ072,588768,Morkovice-Slížany,693,813,1506,99.67,66.62,2268
CZ072,588784,Němčice,91,126,217,99.54,73.90,295
CZ072,588806,Nítkovice,47,68,115,100.00,59.90,192
CZ072,588814,Nová Dědina,109,152,261,99.24,76.45,344
CZ072,588822,Osíčko,118,138,256,99.61,71.79,358
CZ072,588831,Pacetluky,56,82,138,98.57,76.09,184
CZ072,588849,Pačlavice,162,348,510,99.42,71.25,720
CZ072,588865,Počenice-Tetětice,172,240,412,99.28,71.80,578
CZ072,588873,Podhradní Lhota,151,97,248,98.41,69.23,364
CZ072,588890,Pravčice,194,227,421,99.53,71.33,593
CZ072,588903,Prusinovice,342,350,692,99.28,72.45,962
CZ072,588920,Rajnochovice,179,133,312,99.68,74.00,423
CZ072,588938,Rataje,340,318,658,99.70,72.32,914
CZ072,588946,Roštění,171,218,389,99.23,69.80,563
CZ072,588954,Roštín,207,184,391,99.74,68.65,571
CZ072,588962,Rusava,139,165,304,98.38,66.59,464
CZ072,588971,Rymice,208,173,381,100.00,78.56,485
CZ072,588989,Skaštice,116,115,231,99.57,77.08,301
CZ072,588997,Slavkov pod Hostýnem,195,166,361,99.45,72.89,498
CZ072,589004,Soběsuky,95,133,228,99.13,73.72,312
CZ072,589039,Střílky,164,182,346,98.86,69.44,504
CZ072,589047,Střížovice,73,48,121,100.00,65.05,186
CZ072,589055,Sulimov,42,49,91,100.00,72.22,126
CZ072,589080,Troubky-Zdislavice,81,154,235,100.00,67.53,348
CZ072,589098,Třebětice,96,56,152,100.00,70.05,217
CZ072,589110,Uhřice,33,74,107,100.00,72.30,148
CZ072,589128,Věžky,98,121,219,98.65,65.29,340
CZ072,589136,Vítonice,112,103,215,99.08,66.36,327
CZ072,589152,Zahnašovice,75,95,170,99.42,69.23,247
CZ072,589161,Záříčí,146,278,424,100.00,75.71,560
CZ072,589187,Zborovice,329,418,747,99.47,63.86,1176
CZ072,589195,Zdounky,475,652,1127,99.91,67.83,1663
CZ072,589217,Zlobice,149,177,326,99.39,70.09,468
CZ072,589225,Žalkovice,144,196,340,98.84,74.78,460
CZ072,589233,Žeranovice,309,185,494,99.80,76.86,644
CZ072,550736,Hostětín,88,41,129,99.23,81.25,160
CZ072,550744,Kunovice,1803,1195,2998,99.70,70.57,4265
CZ072,550752,Staré Město,2330,1425,3755,99.60,72.34,5213
CZ072,592005,Uherské Hradiště,8580,5219,13799,99.30,70.24,19785
CZ072,592013,Babice,563,469,1032,99.71,73.14,1415
CZ072,592021,Bánov,640,569,1209,99.51,71.77,1693
CZ072,592030,Bílovice,695,401,1096,99.01,75.46,1467
CZ072,592048,Bojkovice,1070,1306,2376,99.71,69.61,3426
CZ072,592056,Boršice u Blatnice,220,231,451,99.12,71.09,640
CZ072,592064,Boršice,757,511,1268,99.37,75.06,1700
CZ072,592072,Břestek,264,232,496,99.20,73.75,678
CZ072,592081,Březolupy,555,405,960,99.59,71.67,1345
CZ072,592099,Březová,209,304,513,99.42,64.42,801
CZ072,592102,Buchlovice,837,666,1503,99.67,72.19,2089
CZ072,592111,Bystřice pod Lopeníkem,240,239,479,98.97,72.93,665
CZ072,592137,Částkov,97,126,223,99.55,74.42,301
CZ072,592145,Dolní Němčí,735,901,1636,99.51,70.86,2320
CZ072,592153,Drslavice,198,105,303,98.70,75.99,404
